method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
LRCP,0,0,,,1.4627,0.2163,dair_lrcp_strict_dual_delay_eval,no-delay LRCP at sender=T receiver=T
LRCP w/o compensation,0,0,,,1.4514,0.2166,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-0 ego-motion aligned to T, sender=T-0; labels=T"
LRCP w/o compensation,1,0,,,1.4747,0.2227,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-0 ego-motion aligned to T, sender=T-1; labels=T"
LRCP w/o compensation,2,0,,,1.4782,0.2355,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-0 ego-motion aligned to T, sender=T-2; labels=T"
LRCP w/o compensation,3,0,,,1.4616,0.2408,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-0 ego-motion aligned to T, sender=T-3; labels=T"
LRCP w/o compensation,4,0,,,1.4889,0.2515,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-0 ego-motion aligned to T, sender=T-4; labels=T"
LRCP w/o compensation,5,0,,,1.4820,0.2515,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-0 ego-motion aligned to T, sender=T-5; labels=T"
LRCP w/o compensation,0,2,,,1.4857,0.2273,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-2 ego-motion aligned to T, sender=T-2; labels=T"
LRCP w/o compensation,1,2,,,1.4662,0.2306,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-2 ego-motion aligned to T, sender=T-3; labels=T"
LRCP w/o compensation,2,2,,,1.4800,0.2297,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-2 ego-motion aligned to T, sender=T-4; labels=T"
LRCP w/o compensation,3,2,,,1.4629,0.2302,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-2 ego-motion aligned to T, sender=T-5; labels=T"
LRCP w/o compensation,4,2,,,1.4827,0.2421,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-2 ego-motion aligned to T, sender=T-6; labels=T"
